#options: 1920x2400 fps=30/1 timebase=1/30 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=12 lookahead_threads=4 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=3 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=50 rc=cbr mbtree=1 bitrate=2100 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 vbv_maxrate=2100 vbv_bufsize=4200 nal_hrd=none filler=0 ip_ratio=1.40 aq=1:1.00
in:0 out:0 type:I dur:2 cpbdur:2 q:36.86 aq:21.62 tex:666123 mv:263429 misc:456 imb:18000 pmb:0 smb:0 d:- ref:;
in:1 out:1 type:P dur:2 cpbdur:2 q:40.55 aq:32.85 tex:19862 mv:5193 misc:1209 imb:970 pmb:43 smb:16987 d:- ref:0 ;
in:5 out:2 type:P dur:2 cpbdur:2 q:41.35 aq:32.94 tex:99906 mv:26457 misc:1765 imb:3605 pmb:461 smb:13934 d:- ref:0 ;
in:3 out:3 type:B dur:2 cpbdur:2 q:41.97 aq:33.63 tex:7693 mv:10349 misc:1958 imb:290 pmb:3264 smb:14446 d:s ref:0 ;
in:2 out:4 type:b dur:2 cpbdur:2 q:42.27 aq:37.45 tex:3182 mv:5214 misc:1420 imb:202 pmb:1700 smb:16098 d:s ref:0 ;
in:4 out:5 type:b dur:2 cpbdur:2 q:42.19 aq:43.55 tex:3838 mv:5314 misc:2640 imb:209 pmb:626 smb:17165 d:- ref:0 ;
in:8 out:6 type:P dur:2 cpbdur:2 q:41.41 aq:31.39 tex:74644 mv:34394 misc:4762 imb:3310 pmb:1536 smb:13154 d:- ref:0 ;
in:6 out:7 type:B dur:2 cpbdur:2 q:41.82 aq:42.31 tex:4585 mv:8342 misc:2489 imb:186 pmb:2892 smb:14922 d:s ref:0 ;
in:7 out:8 type:b dur:2 cpbdur:2 q:41.91 aq:40.87 tex:3597 mv:5701 misc:2758 imb:162 pmb:729 smb:17109 d:- ref:0 ;
in:12 out:9 type:P dur:2 cpbdur:2 q:41.00 aq:31.27 tex:43603 mv:31250 misc:6275 imb:1546 pmb:2073 smb:14381 d:- ref:0 ;
in:10 out:10 type:B dur:2 cpbdur:2 q:41.64 aq:41.65 tex:2540 mv:6950 misc:2758 imb:92 pmb:1070 smb:16838 d:s ref:0 ;
